metric,percentile,value_us
ttft_from_intended,50,12247
ttft_from_intended,75,13359
ttft_from_intended,90,23823
ttft_from_intended,95,38527
ttft_from_intended,99,43839
ttft_from_intended,99.9,47647
ttft_from_intended,99.99,47807
ttft_from_dispatch,50,10927
ttft_from_dispatch,75,11727
ttft_from_dispatch,90,22511
ttft_from_dispatch,95,36991
ttft_from_dispatch,99,42431
ttft_from_dispatch,99.9,44767
ttft_from_dispatch,99.99,45407
e2e_from_intended,50,21311
e2e_from_intended,75,22527
e2e_from_intended,90,32991
e2e_from_intended,95,47487
e2e_from_intended,99,53439
e2e_from_intended,99.9,56607
e2e_from_intended,99.99,57375
e2e_from_dispatch,50,19967
e2e_from_dispatch,75,20927
e2e_from_dispatch,90,31839
e2e_from_dispatch,95,46431
e2e_from_dispatch,99,51647
e2e_from_dispatch,99.9,54207
e2e_from_dispatch,99.99,55167
dispatch_lag,50,1278
dispatch_lag,75,1692
dispatch_lag,90,2075
dispatch_lag,95,2283
dispatch_lag,99,2773
dispatch_lag,99.9,3411
dispatch_lag,99.99,9623
