metric,percentile,value_us
ttft_from_intended,50,4351
ttft_from_intended,75,4935
ttft_from_intended,90,5571
ttft_from_intended,95,6027
ttft_from_intended,99,7511
ttft_from_intended,99.9,13999
ttft_from_intended,99.99,20223
ttft_from_dispatch,50,2705
ttft_from_dispatch,75,3037
ttft_from_dispatch,90,3497
ttft_from_dispatch,95,3837
ttft_from_dispatch,99,5099
ttft_from_dispatch,99.9,9079
ttft_from_dispatch,99.99,12471
e2e_from_intended,50,5487
e2e_from_intended,75,6119
e2e_from_intended,90,6711
e2e_from_intended,95,7219
e2e_from_intended,99,8895
e2e_from_intended,99.9,14655
e2e_from_intended,99.99,21391
e2e_from_dispatch,50,3845
e2e_from_dispatch,75,4251
e2e_from_dispatch,90,4727
e2e_from_dispatch,95,5103
e2e_from_dispatch,99,6439
e2e_from_dispatch,99.9,12311
e2e_from_dispatch,99.99,12831
dispatch_lag,50,1651
dispatch_lag,75,2061
dispatch_lag,90,2401
dispatch_lag,95,2593
dispatch_lag,99,2955
dispatch_lag,99.9,10903
dispatch_lag,99.99,17407
