metric,percentile,value_us
ttft_from_intended,50,12831
ttft_from_intended,75,41407
ttft_from_intended,90,42719
ttft_from_intended,95,43455
ttft_from_intended,99,45951
ttft_from_intended,99.9,58303
ttft_from_intended,99.99,61855
ttft_from_dispatch,50,10919
ttft_from_dispatch,75,40255
ttft_from_dispatch,90,41151
ttft_from_dispatch,95,41631
ttft_from_dispatch,99,43455
ttft_from_dispatch,99.9,57887
ttft_from_dispatch,99.99,60255
e2e_from_intended,50,22271
e2e_from_intended,75,50527
e2e_from_intended,90,52031
e2e_from_intended,95,52895
e2e_from_intended,99,56671
e2e_from_intended,99.9,68095
e2e_from_intended,99.99,70079
e2e_from_dispatch,50,20495
e2e_from_dispatch,75,49247
e2e_from_dispatch,90,50527
e2e_from_dispatch,95,51263
e2e_from_dispatch,99,54335
e2e_from_dispatch,99.9,67711
e2e_from_dispatch,99.99,68543
dispatch_lag,50,1321
dispatch_lag,75,1770
dispatch_lag,90,2189
dispatch_lag,95,2491
dispatch_lag,99,3379
dispatch_lag,99.9,8551
dispatch_lag,99.99,14311
