metric,percentile,value_us
ttft_from_intended,50,4447
ttft_from_intended,75,5099
ttft_from_intended,90,5595
ttft_from_intended,95,5911
ttft_from_intended,99,7199
ttft_from_intended,99.9,9007
ttft_from_intended,99.99,10527
ttft_from_dispatch,50,2749
ttft_from_dispatch,75,3113
ttft_from_dispatch,90,3595
ttft_from_dispatch,95,3903
ttft_from_dispatch,99,5411
ttft_from_dispatch,99.9,7327
ttft_from_dispatch,99.99,7455
e2e_from_intended,50,5587
e2e_from_intended,75,6263
e2e_from_intended,90,6851
e2e_from_intended,95,7191
e2e_from_intended,99,8319
e2e_from_intended,99.9,10919
e2e_from_intended,99.99,11751
e2e_from_dispatch,50,3903
e2e_from_dispatch,75,4335
e2e_from_dispatch,90,4819
e2e_from_dispatch,95,5231
e2e_from_dispatch,99,6703
e2e_from_dispatch,99.9,8147
e2e_from_dispatch,99.99,8935
dispatch_lag,50,1694
dispatch_lag,75,2109
dispatch_lag,90,2455
dispatch_lag,95,2649
dispatch_lag,99,2875
dispatch_lag,99.9,7583
dispatch_lag,99.99,7659
