metric,percentile,value_us
ttft_from_intended,50,726015
ttft_from_intended,75,956415
ttft_from_intended,90,1116159
ttft_from_intended,95,1212415
ttft_from_intended,99,1295359
ttft_from_intended,99.9,1348607
ttft_from_intended,99.99,1360895
ttft_from_dispatch,50,724479
ttft_from_dispatch,75,955391
ttft_from_dispatch,90,1115135
ttft_from_dispatch,95,1211391
ttft_from_dispatch,99,1293311
ttft_from_dispatch,99.9,1346559
ttft_from_dispatch,99.99,1359871
e2e_from_intended,50,804351
e2e_from_intended,75,1034751
e2e_from_intended,90,1196031
e2e_from_intended,95,1292287
e2e_from_intended,99,1372159
e2e_from_intended,99.9,1427455
e2e_from_intended,99.99,1436671
e2e_from_dispatch,50,802815
e2e_from_dispatch,75,1034239
e2e_from_dispatch,90,1193983
e2e_from_dispatch,95,1291263
e2e_from_dispatch,99,1371135
e2e_from_dispatch,99.9,1425407
e2e_from_dispatch,99.99,1436671
dispatch_lag,50,1374
dispatch_lag,75,1782
dispatch_lag,90,2217
dispatch_lag,95,2797
dispatch_lag,99,7319
dispatch_lag,99.9,22159
dispatch_lag,99.99,27231
