metric,percentile,value_us
ttft_from_intended,50,13711
ttft_from_intended,75,42111
ttft_from_intended,90,43711
ttft_from_intended,95,44511
ttft_from_intended,99,45951
ttft_from_intended,99.9,47007
ttft_from_intended,99.99,50815
ttft_from_dispatch,50,11447
ttft_from_dispatch,75,40639
ttft_from_dispatch,90,41951
ttft_from_dispatch,95,42431
ttft_from_dispatch,99,43551
ttft_from_dispatch,99.9,44991
ttft_from_dispatch,99.99,46655
e2e_from_intended,50,23887
e2e_from_intended,75,51839
e2e_from_intended,90,53759
e2e_from_intended,95,54591
e2e_from_intended,99,56383
e2e_from_intended,99.9,59871
e2e_from_intended,99.99,64095
e2e_from_dispatch,50,21727
e2e_from_dispatch,75,50335
e2e_from_dispatch,90,51999
e2e_from_dispatch,95,52671
e2e_from_dispatch,99,53951
e2e_from_dispatch,99.9,56703
e2e_from_dispatch,99.99,62399
dispatch_lag,50,1451
dispatch_lag,75,2093
dispatch_lag,90,2925
dispatch_lag,95,3267
dispatch_lag,99,3711
dispatch_lag,99.9,4843
dispatch_lag,99.99,7659
