metric,percentile,value_us
ttft_from_intended,50,11559
ttft_from_intended,75,13263
ttft_from_intended,90,42143
ttft_from_intended,95,43679
ttft_from_intended,99,73407
ttft_from_intended,99.9,104703
ttft_from_intended,99.99,111231
ttft_from_dispatch,50,10271
ttft_from_dispatch,75,11863
ttft_from_dispatch,90,40831
ttft_from_dispatch,95,42175
ttft_from_dispatch,99,71167
ttft_from_dispatch,99.9,104063
ttft_from_dispatch,99.99,110207
e2e_from_intended,50,88831
e2e_from_intended,75,92287
e2e_from_intended,90,119551
e2e_from_intended,95,122367
e2e_from_intended,99,152319
e2e_from_intended,99.9,180607
e2e_from_intended,99.99,187007
e2e_from_dispatch,50,87615
e2e_from_dispatch,75,90879
e2e_from_dispatch,90,118335
e2e_from_dispatch,95,121023
e2e_from_dispatch,99,150271
e2e_from_dispatch,99.9,179967
e2e_from_dispatch,99.99,185983
dispatch_lag,50,1211
dispatch_lag,75,1555
dispatch_lag,90,1876
dispatch_lag,95,2097
dispatch_lag,99,4015
dispatch_lag,99.9,28527
dispatch_lag,99.99,42879
