metric,percentile,value_us
ttft_from_intended,50,22415
ttft_from_intended,75,43967
ttft_from_intended,90,64831
ttft_from_intended,95,79679
ttft_from_intended,99,116927
ttft_from_intended,99.9,145791
ttft_from_intended,99.99,145791
ttft_from_dispatch,50,20527
ttft_from_dispatch,75,42207
ttft_from_dispatch,90,63423
ttft_from_dispatch,95,78271
ttft_from_dispatch,99,115071
ttft_from_dispatch,99.9,143871
ttft_from_dispatch,99.99,143871
e2e_from_intended,50,50175
e2e_from_intended,75,72127
e2e_from_intended,90,93439
e2e_from_intended,95,109759
e2e_from_intended,99,144639
e2e_from_intended,99.9,173951
e2e_from_intended,99.99,173951
e2e_from_dispatch,50,48223
e2e_from_dispatch,75,70399
e2e_from_dispatch,90,92287
e2e_from_dispatch,95,108095
e2e_from_dispatch,99,143103
e2e_from_dispatch,99.9,172031
e2e_from_dispatch,99.99,172031
dispatch_lag,50,1560
dispatch_lag,75,2133
dispatch_lag,90,2681
dispatch_lag,95,2991
dispatch_lag,99,3449
dispatch_lag,99.9,5583
dispatch_lag,99.99,12127
