metric,percentile,value_us
ttft_from_intended,50,3981
ttft_from_intended,75,4723
ttft_from_intended,90,5167
ttft_from_intended,95,5419
ttft_from_intended,99,5855
ttft_from_intended,99.9,8711
ttft_from_intended,99.99,8935
ttft_from_dispatch,50,1721
ttft_from_dispatch,75,1856
ttft_from_dispatch,90,1994
ttft_from_dispatch,95,2109
ttft_from_dispatch,99,2647
ttft_from_dispatch,99.9,4339
ttft_from_dispatch,99.99,5283
e2e_from_intended,50,5151
e2e_from_intended,75,5967
e2e_from_intended,90,6455
e2e_from_intended,95,6763
e2e_from_intended,99,7447
e2e_from_intended,99.9,10351
e2e_from_intended,99.99,11127
e2e_from_dispatch,50,3021
e2e_from_dispatch,75,3203
e2e_from_dispatch,90,3391
e2e_from_dispatch,95,3505
e2e_from_dispatch,99,4119
e2e_from_dispatch,99.9,7175
e2e_from_dispatch,99.99,7187
dispatch_lag,50,2391
dispatch_lag,75,3027
dispatch_lag,90,3411
dispatch_lag,95,3609
dispatch_lag,99,3947
dispatch_lag,99.9,9767
dispatch_lag,99.99,12095
