metric,percentile,value_us
ttft_from_intended,50,13871
ttft_from_intended,75,42111
ttft_from_intended,90,43775
ttft_from_intended,95,44735
ttft_from_intended,99,47839
ttft_from_intended,99.9,81023
ttft_from_intended,99.99,89215
ttft_from_dispatch,50,11447
ttft_from_dispatch,75,40703
ttft_from_dispatch,90,41919
ttft_from_dispatch,95,42431
ttft_from_dispatch,99,44927
ttft_from_dispatch,99.9,72447
ttft_from_dispatch,99.99,76095
e2e_from_intended,50,24127
e2e_from_intended,75,51807
e2e_from_intended,90,53759
e2e_from_intended,95,54783
e2e_from_intended,99,61919
e2e_from_intended,99.9,99967
e2e_from_intended,99.99,101631
e2e_from_dispatch,50,21775
e2e_from_dispatch,75,50335
e2e_from_dispatch,90,51935
e2e_from_dispatch,95,52703
e2e_from_dispatch,99,56191
e2e_from_dispatch,99.9,96831
e2e_from_dispatch,99.99,98367
dispatch_lag,50,1545
dispatch_lag,75,2159
dispatch_lag,90,3031
dispatch_lag,95,3381
dispatch_lag,99,5371
dispatch_lag,99.9,25631
dispatch_lag,99.99,34079
