metric,percentile,value_us
ttft_from_intended,50,13407
ttft_from_intended,75,17023
ttft_from_intended,90,45215
ttft_from_intended,95,64447
ttft_from_intended,99,86463
ttft_from_intended,99.9,116287
ttft_from_intended,99.99,151423
ttft_from_dispatch,50,11959
ttft_from_dispatch,75,15031
ttft_from_dispatch,90,43647
ttft_from_dispatch,95,62815
ttft_from_dispatch,99,84927
ttft_from_dispatch,99.9,115007
ttft_from_dispatch,99.99,148991
e2e_from_intended,50,91839
e2e_from_intended,75,98943
e2e_from_intended,90,124095
e2e_from_intended,95,142975
e2e_from_intended,99,164863
e2e_from_intended,99.9,203135
e2e_from_intended,99.99,231935
e2e_from_dispatch,50,90495
e2e_from_dispatch,75,97215
e2e_from_dispatch,90,121919
e2e_from_dispatch,95,141823
e2e_from_dispatch,99,164095
e2e_from_dispatch,99.9,202751
e2e_from_dispatch,99.99,229631
dispatch_lag,50,1269
dispatch_lag,75,1668
dispatch_lag,90,2065
dispatch_lag,95,2743
dispatch_lag,99,7447
dispatch_lag,99.9,25343
dispatch_lag,99.99,33087
