metric,percentile,value_us
ttft_from_intended,50,5879
ttft_from_intended,75,6827
ttft_from_intended,90,7903
ttft_from_intended,95,8807
ttft_from_intended,99,13295
ttft_from_intended,99.9,78079
ttft_from_intended,99.99,78207
ttft_from_dispatch,50,4243
ttft_from_dispatch,75,4967
ttft_from_dispatch,90,5827
ttft_from_dispatch,95,6635
ttft_from_dispatch,99,10679
ttft_from_dispatch,99.9,76095
ttft_from_dispatch,99.99,76223
e2e_from_intended,50,7099
e2e_from_intended,75,8151
e2e_from_intended,90,9271
e2e_from_intended,95,10255
e2e_from_intended,99,14687
e2e_from_intended,99.9,78079
e2e_from_intended,99.99,79871
e2e_from_dispatch,50,5495
e2e_from_dispatch,75,6259
e2e_from_dispatch,90,7143
e2e_from_dispatch,95,7931
e2e_from_dispatch,99,12671
e2e_from_dispatch,99.9,76223
e2e_from_dispatch,99.99,77695
dispatch_lag,50,1676
dispatch_lag,75,2107
dispatch_lag,90,2503
dispatch_lag,95,2735
dispatch_lag,99,5531
dispatch_lag,99.9,27679
dispatch_lag,99.99,42847
