metric,percentile,value_us
ttft_from_intended,50,12415
ttft_from_intended,75,41439
ttft_from_intended,90,42559
ttft_from_intended,95,43327
ttft_from_intended,99,44671
ttft_from_intended,99.9,48991
ttft_from_intended,99.99,49183
ttft_from_dispatch,50,10591
ttft_from_dispatch,75,40159
ttft_from_dispatch,90,41087
ttft_from_dispatch,95,41503
ttft_from_dispatch,99,42911
ttft_from_dispatch,99.9,48479
ttft_from_dispatch,99.99,48703
e2e_from_intended,50,21759
e2e_from_intended,75,50335
e2e_from_intended,90,51807
e2e_from_intended,95,52479
e2e_from_intended,99,54335
e2e_from_intended,99.9,61023
e2e_from_intended,99.99,67391
e2e_from_dispatch,50,19967
e2e_from_dispatch,75,49055
e2e_from_dispatch,90,50271
e2e_from_dispatch,95,50879
e2e_from_dispatch,99,52735
e2e_from_dispatch,99.9,59199
e2e_from_dispatch,99.99,65151
dispatch_lag,50,1347
dispatch_lag,75,1764
dispatch_lag,90,2183
dispatch_lag,95,2413
dispatch_lag,99,3367
dispatch_lag,99.9,9215
dispatch_lag,99.99,17647
