metric,percentile,value_us
ttft_from_intended,50,12039
ttft_from_intended,75,26783
ttft_from_intended,90,46239
ttft_from_intended,95,67199
ttft_from_intended,99,117823
ttft_from_intended,99.9,243839
ttft_from_intended,99.99,247807
ttft_from_dispatch,50,10711
ttft_from_dispatch,75,25727
ttft_from_dispatch,90,44639
ttft_from_dispatch,95,66431
ttft_from_dispatch,99,116415
ttft_from_dispatch,99.9,242687
ttft_from_dispatch,99.99,246399
e2e_from_intended,50,89727
e2e_from_intended,75,102719
e2e_from_intended,90,124799
e2e_from_intended,95,144255
e2e_from_intended,99,196991
e2e_from_intended,99.9,323839
e2e_from_intended,99.99,327679
e2e_from_dispatch,50,88447
e2e_from_dispatch,75,101887
e2e_from_dispatch,90,123327
e2e_from_dispatch,95,143103
e2e_from_dispatch,99,195327
e2e_from_dispatch,99.9,322559
e2e_from_dispatch,99.99,326399
dispatch_lag,50,1198
dispatch_lag,75,1592
dispatch_lag,90,1941
dispatch_lag,95,2145
dispatch_lag,99,2829
dispatch_lag,99.9,10783
dispatch_lag,99.99,21663
