metric,percentile,value_us
ttft_from_intended,50,4531
ttft_from_intended,75,5199
ttft_from_intended,90,5759
ttft_from_intended,95,6135
ttft_from_intended,99,7331
ttft_from_intended,99.9,19807
ttft_from_intended,99.99,21407
ttft_from_dispatch,50,2879
ttft_from_dispatch,75,3251
ttft_from_dispatch,90,3741
ttft_from_dispatch,95,4123
ttft_from_dispatch,99,4987
ttft_from_dispatch,99.9,12047
ttft_from_dispatch,99.99,14767
e2e_from_intended,50,5727
e2e_from_intended,75,6455
e2e_from_intended,90,7087
e2e_from_intended,95,7487
e2e_from_intended,99,9463
e2e_from_intended,99.9,23135
e2e_from_intended,99.99,27391
e2e_from_dispatch,50,4115
e2e_from_dispatch,75,4555
e2e_from_dispatch,90,5107
e2e_from_dispatch,95,5543
e2e_from_dispatch,99,6851
e2e_from_dispatch,99.9,15151
e2e_from_dispatch,99.99,24879
dispatch_lag,50,1669
dispatch_lag,75,2065
dispatch_lag,90,2381
dispatch_lag,95,2561
dispatch_lag,99,2851
dispatch_lag,99.9,9895
dispatch_lag,99.99,16543
