metric,percentile,value_us
ttft_from_intended,50,11263
ttft_from_intended,75,13247
ttft_from_intended,90,41567
ttft_from_intended,95,43551
ttft_from_intended,99,79167
ttft_from_intended,99.9,120895
ttft_from_intended,99.99,132991
ttft_from_dispatch,50,9943
ttft_from_dispatch,75,11671
ttft_from_dispatch,90,40127
ttft_from_dispatch,95,41791
ttft_from_dispatch,99,77631
ttft_from_dispatch,99.9,115839
ttft_from_dispatch,99.99,125247
e2e_from_intended,50,88895
e2e_from_intended,75,92799
e2e_from_intended,90,119487
e2e_from_intended,95,124543
e2e_from_intended,99,159615
e2e_from_intended,99.9,192895
e2e_from_intended,99.99,209919
e2e_from_dispatch,50,87615
e2e_from_dispatch,75,91327
e2e_from_dispatch,90,117823
e2e_from_dispatch,95,122303
e2e_from_dispatch,99,157695
e2e_from_dispatch,99.9,190975
e2e_from_dispatch,99.99,202239
dispatch_lag,50,1252
dispatch_lag,75,1642
dispatch_lag,90,2105
dispatch_lag,95,2637
dispatch_lag,99,10175
dispatch_lag,99.9,38815
dispatch_lag,99.99,73407
