metric,percentile,value_us
ttft_from_intended,50,11919
ttft_from_intended,75,13087
ttft_from_intended,90,14575
ttft_from_intended,95,17135
ttft_from_intended,99,129023
ttft_from_intended,99.9,455935
ttft_from_intended,99.99,482815
ttft_from_dispatch,50,10599
ttft_from_dispatch,75,11447
ttft_from_dispatch,90,12527
ttft_from_dispatch,95,14407
ttft_from_dispatch,99,52799
ttft_from_dispatch,99.9,303103
ttft_from_dispatch,99.99,480255
e2e_from_intended,50,21039
e2e_from_intended,75,22447
e2e_from_intended,90,24463
e2e_from_intended,95,28863
e2e_from_intended,99,145407
e2e_from_intended,99.9,462335
e2e_from_intended,99.99,491007
e2e_from_dispatch,50,19647
e2e_from_dispatch,75,20799
e2e_from_dispatch,90,22431
e2e_from_dispatch,95,24719
e2e_from_dispatch,99,75839
e2e_from_dispatch,99.9,449535
e2e_from_dispatch,99.99,488447
dispatch_lag,50,1351
dispatch_lag,75,1900
dispatch_lag,90,2485
dispatch_lag,95,3059
dispatch_lag,99,36287
dispatch_lag,99.9,307711
dispatch_lag,99.99,336127
