metric,percentile,value_us
ttft_from_intended,50,3457
ttft_from_intended,75,4055
ttft_from_intended,90,4623
ttft_from_intended,95,5631
ttft_from_intended,99,9895
ttft_from_intended,99.9,24175
ttft_from_intended,99.99,28431
ttft_from_dispatch,50,1682
ttft_from_dispatch,75,1912
ttft_from_dispatch,90,2247
ttft_from_dispatch,95,2933
ttft_from_dispatch,99,5419
ttft_from_dispatch,99.9,9575
ttft_from_dispatch,99.99,14119
e2e_from_intended,50,4631
e2e_from_intended,75,5259
e2e_from_intended,90,5979
e2e_from_intended,95,7083
e2e_from_intended,99,11671
e2e_from_intended,99.9,26063
e2e_from_intended,99.99,29167
e2e_from_dispatch,50,2909
e2e_from_dispatch,75,3201
e2e_from_dispatch,90,3673
e2e_from_dispatch,95,4591
e2e_from_dispatch,99,7775
e2e_from_dispatch,99.9,13463
e2e_from_dispatch,99.99,15287
dispatch_lag,50,1750
dispatch_lag,75,2151
dispatch_lag,90,2581
dispatch_lag,95,2819
dispatch_lag,99,6135
dispatch_lag,99.9,20447
dispatch_lag,99.99,24575
