metric,percentile,value_us
ttft_from_intended,50,4623
ttft_from_intended,75,5395
ttft_from_intended,90,6207
ttft_from_intended,95,6739
ttft_from_intended,99,8423
ttft_from_intended,99.9,16703
ttft_from_intended,99.99,16703
ttft_from_dispatch,50,2893
ttft_from_dispatch,75,3483
ttft_from_dispatch,90,4215
ttft_from_dispatch,95,4655
ttft_from_dispatch,99,6127
ttft_from_dispatch,99.9,14983
ttft_from_dispatch,99.99,15455
e2e_from_intended,50,5751
e2e_from_intended,75,6607
e2e_from_intended,90,7483
e2e_from_intended,95,8071
e2e_from_intended,99,9791
e2e_from_intended,99.9,17919
e2e_from_intended,99.99,17967
e2e_from_dispatch,50,4045
e2e_from_dispatch,75,4687
e2e_from_dispatch,90,5515
e2e_from_dispatch,95,5955
e2e_from_dispatch,99,7667
e2e_from_dispatch,99.9,16671
e2e_from_dispatch,99.99,16703
dispatch_lag,50,1728
dispatch_lag,75,2139
dispatch_lag,90,2461
dispatch_lag,95,2649
dispatch_lag,99,3693
dispatch_lag,99.9,72831
dispatch_lag,99.99,74175
