metric,percentile,value_us
ttft_from_intended,50,13183
ttft_from_intended,75,19535
ttft_from_intended,90,57823
ttft_from_intended,95,72831
ttft_from_intended,99,120511
ttft_from_intended,99.9,154239
ttft_from_intended,99.99,159743
ttft_from_dispatch,50,11727
ttft_from_dispatch,75,16719
ttft_from_dispatch,90,56479
ttft_from_dispatch,95,70591
ttft_from_dispatch,99,119231
ttft_from_dispatch,99.9,153599
ttft_from_dispatch,99.99,158591
e2e_from_intended,50,91967
e2e_from_intended,75,102399
e2e_from_intended,90,137215
e2e_from_intended,95,151423
e2e_from_intended,99,198399
e2e_from_intended,99.9,232575
e2e_from_intended,99.99,237055
e2e_from_dispatch,50,90431
e2e_from_dispatch,75,100223
e2e_from_dispatch,90,135167
e2e_from_dispatch,95,149503
e2e_from_dispatch,99,197119
e2e_from_dispatch,99.9,231935
e2e_from_dispatch,99.99,235903
dispatch_lag,50,1277
dispatch_lag,75,1729
dispatch_lag,90,2237
dispatch_lag,95,3445
dispatch_lag,99,10695
dispatch_lag,99.9,26991
dispatch_lag,99.99,52095
