metric,percentile,value_us
ttft_from_intended,50,12567
ttft_from_intended,75,13895
ttft_from_intended,90,15167
ttft_from_intended,95,15999
ttft_from_intended,99,19807
ttft_from_intended,99.9,39263
ttft_from_intended,99.99,40831
ttft_from_dispatch,50,11119
ttft_from_dispatch,75,11943
ttft_from_dispatch,90,12727
ttft_from_dispatch,95,13295
ttft_from_dispatch,99,16071
ttft_from_dispatch,99.9,23199
ttft_from_dispatch,99.99,24799
e2e_from_intended,50,22319
e2e_from_intended,75,23727
e2e_from_intended,90,25167
e2e_from_intended,95,26175
e2e_from_intended,99,30271
e2e_from_intended,99.9,48639
e2e_from_intended,99.99,50207
e2e_from_dispatch,50,20783
e2e_from_dispatch,75,21935
e2e_from_dispatch,90,22847
e2e_from_dispatch,95,23599
e2e_from_dispatch,99,26655
e2e_from_dispatch,99.9,33759
e2e_from_dispatch,99.99,34527
dispatch_lag,50,1460
dispatch_lag,75,2069
dispatch_lag,90,2857
dispatch_lag,95,3223
dispatch_lag,99,4065
dispatch_lag,99.9,17343
dispatch_lag,99.99,31327
