metric,percentile,value_us
ttft_from_intended,50,11391
ttft_from_intended,75,12575
ttft_from_intended,90,41311
ttft_from_intended,95,42367
ttft_from_intended,99,44191
ttft_from_intended,99.9,59071
ttft_from_intended,99.99,77183
ttft_from_dispatch,50,10151
ttft_from_dispatch,75,11119
ttft_from_dispatch,90,40223
ttft_from_dispatch,95,41087
ttft_from_dispatch,99,42527
ttft_from_dispatch,99.9,57567
ttft_from_dispatch,99.99,75647
e2e_from_intended,50,88767
e2e_from_intended,75,91071
e2e_from_intended,90,117311
e2e_from_intended,95,119871
e2e_from_intended,99,122751
e2e_from_intended,99.9,134911
e2e_from_intended,99.99,153215
e2e_from_dispatch,50,87551
e2e_from_dispatch,75,89663
e2e_from_dispatch,90,116223
e2e_from_dispatch,95,118527
e2e_from_dispatch,99,121151
e2e_from_dispatch,99.9,134015
e2e_from_dispatch,99.99,151679
dispatch_lag,50,1209
dispatch_lag,75,1572
dispatch_lag,90,1919
dispatch_lag,95,2133
dispatch_lag,99,4259
dispatch_lag,99.9,10295
dispatch_lag,99.99,12175
