metric,percentile,value_us
ttft_from_intended,50,4307
ttft_from_intended,75,4899
ttft_from_intended,90,5419
ttft_from_intended,95,5831
ttft_from_intended,99,7447
ttft_from_intended,99.9,15375
ttft_from_intended,99.99,26111
ttft_from_dispatch,50,2587
ttft_from_dispatch,75,2987
ttft_from_dispatch,90,3385
ttft_from_dispatch,95,3691
ttft_from_dispatch,99,4799
ttft_from_dispatch,99.9,11311
ttft_from_dispatch,99.99,23311
e2e_from_intended,50,5379
e2e_from_intended,75,6087
e2e_from_intended,90,6659
e2e_from_intended,95,7107
e2e_from_intended,99,8639
e2e_from_intended,99.9,16607
e2e_from_intended,99.99,26383
e2e_from_dispatch,50,3721
e2e_from_dispatch,75,4163
e2e_from_dispatch,90,4639
e2e_from_dispatch,95,4995
e2e_from_dispatch,99,6351
e2e_from_dispatch,99.9,12527
e2e_from_dispatch,99.99,23583
dispatch_lag,50,1715
dispatch_lag,75,2115
dispatch_lag,90,2469
dispatch_lag,95,2651
dispatch_lag,99,2959
dispatch_lag,99.9,9119
dispatch_lag,99.99,12519
