metric,percentile,value_us
ttft_from_intended,50,4635
ttft_from_intended,75,5343
ttft_from_intended,90,5971
ttft_from_intended,95,6435
ttft_from_intended,99,7723
ttft_from_intended,99.9,11663
ttft_from_intended,99.99,12199
ttft_from_dispatch,50,2997
ttft_from_dispatch,75,3423
ttft_from_dispatch,90,3975
ttft_from_dispatch,95,4391
ttft_from_dispatch,99,5411
ttft_from_dispatch,99.9,7387
ttft_from_dispatch,99.99,10143
e2e_from_intended,50,5835
e2e_from_intended,75,6603
e2e_from_intended,90,7267
e2e_from_intended,95,7775
e2e_from_intended,99,9063
e2e_from_intended,99.9,11983
e2e_from_intended,99.99,13703
e2e_from_dispatch,50,4219
e2e_from_dispatch,75,4719
e2e_from_dispatch,90,5311
e2e_from_dispatch,95,5711
e2e_from_dispatch,99,6851
e2e_from_dispatch,99.9,8783
e2e_from_dispatch,99.99,10471
dispatch_lag,50,1649
dispatch_lag,75,2063
dispatch_lag,90,2427
dispatch_lag,95,2613
dispatch_lag,99,2901
dispatch_lag,99.9,8967
dispatch_lag,99.99,10103
