metric,percentile,value_us
ttft_from_intended,50,12191
ttft_from_intended,75,41343
ttft_from_intended,90,42431
ttft_from_intended,95,43007
ttft_from_intended,99,44191
ttft_from_intended,99.9,45887
ttft_from_intended,99.99,47551
ttft_from_dispatch,50,10383
ttft_from_dispatch,75,40127
ttft_from_dispatch,90,40959
ttft_from_dispatch,95,41375
ttft_from_dispatch,99,42239
ttft_from_dispatch,99.9,43711
ttft_from_dispatch,99.99,45919
e2e_from_intended,50,21487
e2e_from_intended,75,50367
e2e_from_intended,90,51679
e2e_from_intended,95,52255
e2e_from_intended,99,53471
e2e_from_intended,99.9,57823
e2e_from_intended,99.99,64799
e2e_from_dispatch,50,19807
e2e_from_dispatch,75,49087
e2e_from_dispatch,90,50207
e2e_from_dispatch,95,50623
e2e_from_dispatch,99,51647
e2e_from_dispatch,99.9,56191
e2e_from_dispatch,99.99,64127
dispatch_lag,50,1316
dispatch_lag,75,1717
dispatch_lag,90,2123
dispatch_lag,95,2347
dispatch_lag,99,2847
dispatch_lag,99.9,5655
dispatch_lag,99.99,6907
