metric,percentile,value_us
ttft_from_intended,50,3829
ttft_from_intended,75,4679
ttft_from_intended,90,5259
ttft_from_intended,95,5687
ttft_from_intended,99,15279
ttft_from_intended,99.9,108479
ttft_from_intended,99.99,116415
ttft_from_dispatch,50,1655
ttft_from_dispatch,75,1818
ttft_from_dispatch,90,2031
ttft_from_dispatch,95,2429
ttft_from_dispatch,99,6247
ttft_from_dispatch,99.9,49471
ttft_from_dispatch,99.99,107839
e2e_from_intended,50,5091
e2e_from_intended,75,5963
e2e_from_intended,90,6651
e2e_from_intended,95,7215
e2e_from_intended,99,17871
e2e_from_intended,99.9,110655
e2e_from_intended,99.99,118591
e2e_from_dispatch,50,2969
e2e_from_dispatch,75,3189
e2e_from_dispatch,90,3513
e2e_from_dispatch,95,4005
e2e_from_dispatch,99,10159
e2e_from_dispatch,99.9,49471
e2e_from_dispatch,99.99,110015
dispatch_lag,50,2215
dispatch_lag,75,2919
dispatch_lag,90,3425
dispatch_lag,95,3667
dispatch_lag,99,7995
dispatch_lag,99.9,47775
dispatch_lag,99.99,71551
