metric,percentile,value_us
ttft_from_intended,50,12455
ttft_from_intended,75,41503
ttft_from_intended,90,42719
ttft_from_intended,95,43455
ttft_from_intended,99,45983
ttft_from_intended,99.9,105151
ttft_from_intended,99.99,132479
ttft_from_dispatch,50,10647
ttft_from_dispatch,75,40255
ttft_from_dispatch,90,41183
ttft_from_dispatch,95,41663
ttft_from_dispatch,99,43263
ttft_from_dispatch,99.9,104447
ttft_from_dispatch,99.99,130815
e2e_from_intended,50,21823
e2e_from_intended,75,50495
e2e_from_intended,90,52031
e2e_from_intended,95,52703
e2e_from_intended,99,55231
e2e_from_intended,99.9,116479
e2e_from_intended,99.99,140287
e2e_from_dispatch,50,20127
e2e_from_dispatch,75,49215
e2e_from_dispatch,90,50463
e2e_from_dispatch,95,50975
e2e_from_dispatch,99,52991
e2e_from_dispatch,99.9,115263
e2e_from_dispatch,99.99,138623
dispatch_lag,50,1327
dispatch_lag,75,1769
dispatch_lag,90,2151
dispatch_lag,95,2421
dispatch_lag,99,2955
dispatch_lag,99.9,27263
dispatch_lag,99.99,77631
