metric,percentile,value_us
ttft_from_intended,50,4563
ttft_from_intended,75,5251
ttft_from_intended,90,5959
ttft_from_intended,95,6547
ttft_from_intended,99,8503
ttft_from_intended,99.9,17983
ttft_from_intended,99.99,24719
ttft_from_dispatch,50,2873
ttft_from_dispatch,75,3359
ttft_from_dispatch,90,4045
ttft_from_dispatch,95,4683
ttft_from_dispatch,99,6243
ttft_from_dispatch,99.9,8671
ttft_from_dispatch,99.99,17007
e2e_from_intended,50,5735
e2e_from_intended,75,6519
e2e_from_intended,90,7307
e2e_from_intended,95,7879
e2e_from_intended,99,9959
e2e_from_intended,99.9,18143
e2e_from_intended,99.99,26031
e2e_from_dispatch,50,4127
e2e_from_dispatch,75,4679
e2e_from_dispatch,90,5351
e2e_from_dispatch,95,6043
e2e_from_dispatch,99,7715
e2e_from_dispatch,99.9,9927
e2e_from_dispatch,99.99,17167
dispatch_lag,50,1631
dispatch_lag,75,2046
dispatch_lag,90,2381
dispatch_lag,95,2591
dispatch_lag,99,2883
dispatch_lag,99.9,5723
dispatch_lag,99.99,22239
