metric,percentile,value_us
ttft_from_intended,50,22863
ttft_from_intended,75,45599
ttft_from_intended,90,72575
ttft_from_intended,95,91583
ttft_from_intended,99,135807
ttft_from_intended,99.9,163455
ttft_from_intended,99.99,163455
ttft_from_dispatch,50,21407
ttft_from_dispatch,75,44127
ttft_from_dispatch,90,71231
ttft_from_dispatch,95,90303
ttft_from_dispatch,99,134527
ttft_from_dispatch,99.9,162815
ttft_from_dispatch,99.99,162815
e2e_from_intended,50,49247
e2e_from_intended,75,71423
e2e_from_intended,90,98559
e2e_from_intended,95,117951
e2e_from_intended,99,163327
e2e_from_intended,99.9,191359
e2e_from_intended,99.99,191359
e2e_from_dispatch,50,47999
e2e_from_dispatch,75,70271
e2e_from_dispatch,90,97343
e2e_from_dispatch,95,116799
e2e_from_dispatch,99,162175
e2e_from_dispatch,99.9,190591
e2e_from_dispatch,99.99,190591
dispatch_lag,50,1411
dispatch_lag,75,1822
dispatch_lag,90,2157
dispatch_lag,95,2363
dispatch_lag,99,2781
dispatch_lag,99.9,5523
dispatch_lag,99.99,11647
