metric,percentile,value_us
ttft_from_intended,50,11791
ttft_from_intended,75,26079
ttft_from_intended,90,48959
ttft_from_intended,95,71551
ttft_from_intended,99,127807
ttft_from_intended,99.9,206719
ttft_from_intended,99.99,214911
ttft_from_dispatch,50,10367
ttft_from_dispatch,75,24303
ttft_from_dispatch,90,47807
ttft_from_dispatch,95,70399
ttft_from_dispatch,99,123519
ttft_from_dispatch,99.9,205439
ttft_from_dispatch,99.99,212735
e2e_from_intended,50,89599
e2e_from_intended,75,107583
e2e_from_intended,90,127039
e2e_from_intended,95,148735
e2e_from_intended,99,205951
e2e_from_intended,99.9,283647
e2e_from_intended,99.99,291071
e2e_from_dispatch,50,88255
e2e_from_dispatch,75,105599
e2e_from_dispatch,90,125695
e2e_from_dispatch,95,147583
e2e_from_dispatch,99,200319
e2e_from_dispatch,99.9,282367
e2e_from_dispatch,99.99,288767
dispatch_lag,50,1224
dispatch_lag,75,1612
dispatch_lag,90,1956
dispatch_lag,95,2181
dispatch_lag,99,3945
dispatch_lag,99.9,16479
dispatch_lag,99.99,20671
